city,latitude,longitude
Mumbai,19.0785451,72.878176
Delhi,28.6517178,77.2219388
Bangalore,12.9767936,77.590082
Hyderabad,17.360589,78.4740613
Ahmedabad,23.0216238,72.5797068
Chennai,13.0836939,80.270186
Kolkata,22.5414185,88.35769124388872
Surat,21.2094892,72.8317058
Pune,18.521428,73.8544541
Jaipur,26.9154576,75.8189817
Lucknow,26.8381,80.9346001
Kanpur,26.4609135,80.3217588
Nagpur,21.1498134,79.0820556
Indore,22.7203616,75.8681996
Thane,19.1943294,72.9701779
Bhopal,23.2584857,77.401989
Visakhapatnam,17.7231276,83.3012842
Pimpri-Chinchwad,18.6279288,73.8009829
Patna,25.6093239,85.1235252
Vadodara,22.2973142,73.1942567
Ghaziabad,28.6711527,77.4120356
Ludhiana,30.9090157,75.851601
Agra,27.1752554,78.0098161
Nashik,20.0112475,73.7902364
Faridabad,28.4031478,77.3105561
Meerut,28.9963296,77.7061915
Rajkot,22.3053263,70.8028377
Kalyan-Dombivli,19.2391602,73.1293186
Vasai-Virar,19.4210423,72.8197221
Varanasi,25.3356491,83.0076292
Srinagar,34.0747444,74.8204443
Aurangabad,19.877263,75.3390241
Dhanbad,23.7952809,86.4309638
Amritsar,31.6343083,74.8736788
Navi Mumbai,19.0308262,73.0198537
Allahabad,25.4381302,81.8338005
Ranchi,23.3700501,85.3250387
Howrah,22.5736296,88.3251045
Coimbatore,11.0018115,76.9628425
Jabalpur,23.1608938,79.9497702
Gwalior,26.2037247,78.1573628
Vijayawada,16.5087586,80.6185102
Jodhpur,26.2967719,73.0351433
Madurai,9.9261153,78.1140983
Raipur,21.2380912,81.6336993
Kota,25.1737019,75.8574194
Guwahati,26.1805978,91.753943
Chandigarh,30.7334421,76.7797143
Solapur,17.6699734,75.9008118
Tiruchirappalli,10.804973,78.6870296
Bareilly,28.355099,79.417851
Moradabad,28.8334982,78.7732864
Mysore,12.3051828,76.6553609
Tiruppur,11.1017815,77.345192
Gurgaon,28.42826235,77.00270014657752
Aligarh,27.8815412,78.0690216
Jalandhar,31.3323762,75.576889
Bhubaneswar,20.2602964,85.8394521
Salem,11.6612012,78.1602498
Warangal,17.9820644,79.5970954
Guntur,16.2915189,80.4541588
Bhiwandi,19.3025562,73.0588072
Saharanpur,29.9637438,77.5427464
Gorakhpur,26.7600217,83.3668129
Bikaner,28.0159286,73.3171367
Amravati,20.9316219,77.7588455
Noida,28.5707841,77.3271074
Jamshedpur,22.8015194,86.2029579
Bhilai Nagar,21.21893945,81.34622355999947
Cuttack,20.4686,85.8792
Firozabad,27.1527986,78.3991439
Kochi,9.931308,76.2674136
Nellore,14.4493717,79.9873763
Bhavnagar,21.7718836,72.1416449
Dehradun,30.3255646,78.0436813
Durgapur,23.5350475,87.3380425
Asansol,23.6871297,86.9746587
Rourkela,22.2309255,84.8678705
Nanded,20.739199,79.78100430660089
Kolhapur,16.7028412,74.2405329
Ajmer,26.4691,74.639
Akola,20.7116604,77.002632
Gulbarga,17.3310003,76.8334228
Jamnagar,22.4732415,70.0552102
Ujjain,23.1885131,75.7716562
Loni,20.794408150000002,77.67133274452004
Siliguri,26.7164127,88.4309916
Jhansi,25.4502464,78.5800085
Ulhasnagar,19.2227363,73.1657782
Jammu,32.7185614,74.8580917
Mangalore,12.8698101,74.8430082
Erode,11.3306483,77.7276519
Belgaum,15.8572666,74.5069343
Kurnool,15.8309251,78.0425373
Malegaon,20.5576062,74.5246514
Gaya,24.7964355,85.0079563
Udaipur,24.578721,73.6862571
Maheshtala,22.5060294,88.2501665
